Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Dependents_numeric,Credit_History_Status,TotalIncome,LoanAmount_Actual,Loan_to_Income_Ratio,LoanIncomeRatio,Has_Coapplicant
LP001135,Female,No,0,Not Graduate,No,3765.0,0.0,125.0,360.0,1.0,Urban,0.0,Has Credit History,3765.0,125000.0,33.200531208499335,26.23294858342077,0
LP001149,Male,Yes,0,Graduate,No,5400.0,4380.0,290.0,360.0,1.0,Urban,0.0,Has Credit History,9780.0,290000.0,29.652351738241308,26.901669758812616,1
LP001153,Male,No,0,Graduate,No,0.0,24000.0,148.0,360.0,0.0,Rural,0.0,No Credit History,24000.0,148000.0,6.166666666666667,5.92,1
LP001163,Male,Yes,2,Graduate,No,4363.0,1250.0,140.0,360.0,,Urban,2.0,Unknown/Not on File,5613.0,140000.0,24.942098699447712,21.17042189626493,1
LP001169,Male,Yes,0,Graduate,No,7500.0,3750.0,275.0,360.0,1.0,Urban,0.0,Has Credit History,11250.0,275000.0,24.444444444444443,22.448979591836736,1
LP001174,Male,Yes,0,Graduate,No,3772.0,833.0,57.0,360.0,,Semiurban,0.0,Unknown/Not on File,4605.0,57000.0,12.37785016286645,10.169491525423728,1
LP001176,Male,No,0,Graduate,No,2942.0,2382.0,125.0,180.0,1.0,Urban,0.0,Has Credit History,5324.0,125000.0,23.478587528174305,19.76597090449083,1
LP001177,Female,No,0,Not Graduate,No,2478.0,0.0,75.0,360.0,1.0,Semiurban,0.0,Has Credit History,2478.0,75000.0,30.26634382566586,21.56411730879816,0
LP001183,Male,Yes,2,Graduate,No,6250.0,820.0,192.0,360.0,1.0,Urban,2.0,Has Credit History,7070.0,192000.0,27.157001414427157,23.79182156133829,1
LP001185,Male,No,0,Graduate,No,3268.0,1683.0,152.0,360.0,1.0,Semiurban,0.0,Has Credit History,4951.0,152000.0,30.700868511411837,25.54192572676861,1
LP001187,Male,Yes,0,Graduate,No,2783.0,2708.0,158.0,360.0,1.0,Urban,0.0,Has Credit History,5491.0,158000.0,28.774358040429796,24.341395778770607,1
LP001190,Male,Yes,0,Graduate,No,2740.0,1541.0,101.0,360.0,1.0,Urban,0.0,Has Credit History,4281.0,101000.0,23.59261854706844,19.125165688316606,1
LP001203,Male,No,0,Graduate,No,3150.0,0.0,176.0,360.0,0.0,Semiurban,0.0,No Credit History,3150.0,176000.0,55.87301587301587,42.40963855421686,0
LP001208,Male,Yes,2,Graduate,No,7350.0,4029.0,185.0,180.0,1.0,Urban,2.0,Has Credit History,11379.0,185000.0,16.25801915809825,14.944664350916876,1
LP001210,Male,Yes,0,Graduate,Yes,2267.0,2792.0,90.0,360.0,1.0,Urban,0.0,Has Credit History,5059.0,90000.0,17.79007709033406,14.853936293117675,1
LP001211,Male,No,0,Graduate,Yes,5833.0,0.0,116.0,360.0,1.0,Urban,0.0,Has Credit History,5833.0,116000.0,19.886850677181553,16.97643787501829,0
LP001219,Male,No,0,Graduate,No,3643.0,1963.0,138.0,360.0,1.0,Urban,0.0,Has Credit History,5606.0,138000.0,24.616482340349627,20.89009990917348,1
LP001220,Male,Yes,0,Graduate,No,5629.0,818.0,100.0,360.0,1.0,Urban,0.0,Has Credit History,6447.0,100000.0,15.511090429657205,13.428226131328051,1
LP001221,Female,No,0,Graduate,No,3644.0,0.0,110.0,360.0,1.0,Urban,0.0,Has Credit History,3644.0,110000.0,30.186608122941823,23.686477174849266,0
LP001226,Male,Yes,0,Not Graduate,No,1750.0,2024.0,90.0,360.0,1.0,Semiurban,0.0,Has Credit History,3774.0,90000.0,23.84737678855326,18.852115626309175,1
LP001230,Male,No,0,Graduate,No,6500.0,2600.0,200.0,360.0,1.0,Semiurban,0.0,Has Credit History,9100.0,200000.0,21.978021978021978,19.801980198019802,1
LP001231,Female,No,0,Graduate,No,3666.0,0.0,84.0,360.0,1.0,Urban,0.0,Has Credit History,3666.0,84000.0,22.913256955810148,18.00257179597085,0
LP001232,Male,Yes,0,Graduate,No,4260.0,3900.0,185.0,360.0,,Urban,0.0,Unknown/Not on File,8160.0,185000.0,22.67156862745098,20.19650655021834,1
LP001237,Male,Yes,0,Not Graduate,No,4163.0,1475.0,162.0,360.0,1.0,Urban,,Has Credit History,5638.0,162000.0,28.73359347286272,24.404941247363663,1
LP001242,Male,No,0,Not Graduate,No,2356.0,1902.0,108.0,360.0,1.0,Semiurban,0.0,Has Credit History,4258.0,108000.0,25.3640206669798,20.540129326740207,1
LP001268,Male,No,0,Graduate,No,6792.0,3338.0,187.0,360.0,1.0,Urban,0.0,Has Credit History,10130.0,187000.0,18.460019743336623,16.801437556154536,1
LP001270,Male,Yes,3+,Not Graduate,Yes,8000.0,250.0,187.0,360.0,1.0,Semiurban,3.0,Has Credit History,8250.0,187000.0,22.666666666666668,20.216216216216218,1
LP001284,Male,Yes,1,Graduate,No,2419.0,1707.0,124.0,360.0,1.0,Urban,1.0,Has Credit History,4126.0,124000.0,30.05332040717402,24.190401872805303,1
LP001287,Male,Yes,3+,Not Graduate,No,3500.0,833.0,120.0,360.0,1.0,Semiurban,3.0,Has Credit History,4333.0,120000.0,27.6944380336949,22.501406337896118,1
LP001291,Male,Yes,1,Graduate,No,3500.0,3077.0,160.0,360.0,1.0,Semiurban,1.0,Has Credit History,6577.0,160000.0,24.32720085145203,21.116536887950375,1
LP001298,Male,Yes,2,Graduate,No,4116.0,1000.0,30.0,180.0,1.0,Urban,2.0,Has Credit History,5116.0,30000.0,5.863956215793589,4.905166775670373,1
LP001312,Male,Yes,0,Not Graduate,Yes,5293.0,0.0,92.0,360.0,1.0,Urban,0.0,Has Credit History,5293.0,92000.0,17.38144719440771,14.619418401398379,0
LP001313,Male,No,0,Graduate,No,2750.0,0.0,130.0,360.0,0.0,Urban,0.0,No Credit History,2750.0,130000.0,47.27272727272727,34.666666666666664,0
LP001317,Female,No,0,Not Graduate,No,4402.0,0.0,130.0,360.0,1.0,Rural,0.0,Has Credit History,4402.0,130000.0,29.532030895047704,24.06516105146242,0
LP001321,Male,Yes,2,Graduate,No,3613.0,3539.0,134.0,180.0,1.0,Semiurban,2.0,Has Credit History,7152.0,134000.0,18.736017897091724,16.437684003925416,1
LP001323,Female,Yes,2,Graduate,No,2779.0,3664.0,176.0,360.0,0.0,Semiurban,2.0,No Credit History,6443.0,176000.0,27.316467484091262,23.646379148192935,1
LP001324,Male,Yes,3+,Graduate,No,4720.0,0.0,90.0,180.0,1.0,Semiurban,3.0,Has Credit History,4720.0,90000.0,19.06779661016949,15.734265734265735,0
LP001332,Male,Yes,0,Not Graduate,No,2415.0,1721.0,110.0,360.0,1.0,Semiurban,0.0,Has Credit History,4136.0,110000.0,26.595744680851062,21.417445482866043,1
LP001335,Male,Yes,0,Graduate,Yes,7016.0,292.0,125.0,360.0,1.0,Urban,0.0,Has Credit History,7308.0,125000.0,17.10454296661193,15.045739046701975,1
LP001338,Female,No,2,Graduate,No,4968.0,0.0,189.0,360.0,1.0,Semiurban,2.0,Has Credit History,4968.0,189000.0,38.04347826086956,31.668900804289546,0
LP001347,Female,No,0,Graduate,No,2101.0,1500.0,108.0,360.0,0.0,Rural,0.0,No Credit History,3601.0,108000.0,29.991668980838657,23.47315800912845,1
LP001348,Male,Yes,3+,Not Graduate,No,4490.0,0.0,125.0,360.0,1.0,Urban,3.0,Has Credit History,4490.0,125000.0,27.839643652561247,22.768670309653917,0
LP001351,Male,Yes,0,Graduate,No,2917.0,3583.0,138.0,360.0,1.0,Semiurban,0.0,Has Credit History,6500.0,138000.0,21.23076923076923,18.4,1
LP001352,Male,Yes,0,Not Graduate,No,4700.0,0.0,135.0,360.0,0.0,Semiurban,0.0,No Credit History,4700.0,135000.0,28.72340425531915,23.684210526315788,0
LP001358,Male,Yes,0,Graduate,No,3445.0,0.0,130.0,360.0,0.0,Semiurban,0.0,No Credit History,3445.0,130000.0,37.735849056603776,29.246344206974126,0
LP001359,Male,Yes,0,Graduate,No,7666.0,0.0,187.0,360.0,1.0,Semiurban,0.0,Has Credit History,7666.0,187000.0,24.393425515262198,21.578582967920607,0
LP001361,Male,Yes,0,Graduate,No,2458.0,5105.0,188.0,360.0,0.0,Rural,0.0,No Credit History,7563.0,188000.0,24.857860637313234,21.954922340301298,1
LP001366,Female,No,0,Graduate,No,3250.0,0.0,95.0,360.0,1.0,Semiurban,,Has Credit History,3250.0,95000.0,29.23076923076923,22.352941176470587,0
LP001368,Male,No,0,Graduate,No,4463.0,0.0,65.0,360.0,1.0,Semiurban,0.0,Has Credit History,4463.0,65000.0,14.564194488012548,11.898224418817499,0
LP001375,Male,Yes,1,Graduate,No,4083.0,1775.0,139.0,60.0,1.0,Urban,1.0,Has Credit History,5858.0,139000.0,23.72823489245476,20.26829979585885,1
LP001380,Male,Yes,0,Graduate,Yes,3900.0,2094.0,232.0,360.0,1.0,Rural,0.0,Has Credit History,5994.0,232000.0,38.70537203870537,33.17128967686589,1
LP001386,Male,Yes,0,Not Graduate,No,4750.0,3583.0,144.0,360.0,1.0,Semiurban,0.0,Has Credit History,8333.0,144000.0,17.280691227649108,15.429122468659594,1
LP001400,Male,No,0,Graduate,No,3583.0,3435.0,155.0,360.0,1.0,Urban,0.0,Has Credit History,7018.0,155000.0,22.086064405813623,19.331504115739584,1
LP001407,Male,Yes,0,Graduate,No,3189.0,2367.0,186.0,360.0,1.0,Urban,0.0,Has Credit History,5556.0,186000.0,33.47732181425486,28.370957901159244,1
LP001413,Male,No,0,Graduate,Yes,6356.0,0.0,50.0,360.0,1.0,Rural,0.0,Has Credit History,6356.0,50000.0,7.8665827564505975,6.797172376291463,0
LP001415,Male,Yes,1,Graduate,No,3413.0,4053.0,126.0,360.0,1.0,Semiurban,1.0,Has Credit History,7466.0,126000.0,16.87650683096705,14.883061658398297,1
LP001419,Female,Yes,0,Graduate,No,7950.0,0.0,185.0,360.0,1.0,Urban,0.0,Has Credit History,7950.0,185000.0,23.270440251572328,20.670391061452516,0
LP001420,Male,Yes,3+,Graduate,No,3829.0,1103.0,163.0,360.0,0.0,Urban,3.0,No Credit History,4932.0,163000.0,33.04947283049473,27.478084962913012,1
LP001428,Male,Yes,3+,Graduate,No,72529.0,0.0,360.0,360.0,1.0,Urban,3.0,Has Credit History,72529.0,360000.0,4.963531828647851,4.8960274177535394,0
LP001445,Male,Yes,2,Not Graduate,No,4136.0,0.0,149.0,480.0,0.0,Rural,2.0,No Credit History,4136.0,149000.0,36.02514506769826,29.010903426791277,0
LP001446,Male,Yes,0,Graduate,No,8449.0,0.0,257.0,360.0,1.0,Rural,0.0,Has Credit History,8449.0,257000.0,30.417800923186174,27.19864535929728,0
LP001450,Male,Yes,0,Graduate,No,4456.0,0.0,131.0,180.0,0.0,Semiurban,0.0,No Credit History,4456.0,131000.0,29.398563734290843,24.010263929618766,0
LP001452,Male,Yes,2,Graduate,No,4635.0,8000.0,102.0,180.0,1.0,Rural,2.0,Has Credit History,12635.0,102000.0,8.072813612979818,7.480748074807481,1
LP001455,Male,Yes,0,Graduate,No,3571.0,1917.0,135.0,360.0,1.0,Urban,0.0,Has Credit History,5488.0,135000.0,24.599125364431487,20.807644882860664,1
LP001466,Male,No,0,Graduate,No,3066.0,0.0,95.0,360.0,1.0,Semiurban,0.0,Has Credit History,3066.0,95000.0,30.984996738421398,23.364485981308412,0
LP001471,Male,No,2,Not Graduate,No,3235.0,2015.0,77.0,360.0,1.0,Semiurban,2.0,Has Credit History,5250.0,77000.0,14.666666666666666,12.32,1
LP001472,Female,No,0,Graduate,No,5058.0,0.0,200.0,360.0,1.0,Rural,0.0,Has Credit History,5058.0,200000.0,39.541320680110715,33.01419610432486,0
LP001475,Male,Yes,0,Graduate,Yes,3188.0,2286.0,130.0,360.0,,Rural,0.0,Unknown/Not on File,5474.0,130000.0,23.748629886737305,20.080321285140563,1
LP001483,Male,Yes,3+,Graduate,No,13518.0,0.0,390.0,360.0,1.0,Rural,3.0,Has Credit History,13518.0,390000.0,28.850421660008877,26.863204298112688,0
LP001486,Male,Yes,1,Graduate,No,4364.0,2500.0,185.0,360.0,1.0,Semiurban,1.0,Has Credit History,6864.0,185000.0,26.952214452214452,23.524923702950154,1
LP001490,Male,Yes,2,Not Graduate,No,4766.0,1646.0,100.0,360.0,1.0,Semiurban,2.0,Has Credit History,6412.0,100000.0,15.595757953836557,13.491635186184565,1
LP001496,Male,Yes,1,Graduate,No,4609.0,2333.0,123.0,360.0,0.0,Semiurban,1.0,No Credit History,6942.0,123000.0,17.718236819360413,15.487282800302191,1
LP001499,Female,Yes,3+,Graduate,No,6260.0,0.0,110.0,360.0,1.0,Semiurban,3.0,Has Credit History,6260.0,110000.0,17.57188498402556,15.151515151515152,0
LP001500,Male,Yes,1,Graduate,No,3333.0,4200.0,256.0,360.0,1.0,Urban,1.0,Has Credit History,7533.0,256000.0,33.98380459312359,30.00117192077815,1
LP001501,Male,Yes,0,Graduate,No,3500.0,3250.0,140.0,360.0,1.0,Semiurban,0.0,Has Credit History,6750.0,140000.0,20.74074074074074,18.06451612903226,1
LP001517,Male,Yes,3+,Graduate,No,9719.0,0.0,61.0,360.0,1.0,Urban,3.0,Has Credit History,9719.0,61000.0,6.276365881263504,5.690829368411233,0
LP001527,Male,Yes,3+,Graduate,No,6835.0,0.0,188.0,360.0,,Semiurban,3.0,Unknown/Not on File,6835.0,188000.0,27.505486466715436,23.994894703254626,0
LP001534,Male,No,0,Graduate,No,4452.0,0.0,131.0,360.0,1.0,Rural,0.0,Has Credit History,4452.0,131000.0,29.424977538185086,24.027879677182685,0
LP001542,Female,Yes,0,Graduate,No,2262.0,0.0,126.0,480.0,0.0,Semiurban,0.0,No Credit History,2262.0,126000.0,55.70291777188329,38.62660944206009,0
LP001547,Male,Yes,1,Graduate,No,3901.0,0.0,116.0,360.0,1.0,Urban,1.0,Has Credit History,3901.0,116000.0,29.735965137144323,23.668639053254438,0
LP001548,Male,Yes,2,Not Graduate,No,2687.0,0.0,50.0,180.0,1.0,Rural,2.0,Has Credit History,2687.0,50000.0,18.608113137327877,13.561160835367508,0
LP001558,Male,No,0,Graduate,No,2243.0,2233.0,107.0,360.0,,Semiurban,0.0,Unknown/Not on File,4476.0,107000.0,23.905272564789993,19.53981008035062,1
LP001561,Female,Yes,0,Graduate,No,3417.0,1287.0,200.0,360.0,1.0,Semiurban,0.0,Has Credit History,4704.0,200000.0,42.51700680272109,35.06311360448808,1
LP001563,Male,No,0,Graduate,No,1596.0,1760.0,119.0,360.0,0.0,Urban,0.0,No Credit History,3356.0,119000.0,35.45887961859356,27.318640955004593,1
LP001567,Male,Yes,3+,Graduate,No,4513.0,0.0,120.0,360.0,1.0,Rural,3.0,Has Credit History,4513.0,120000.0,26.589851539995568,21.76673317612915,0
LP001568,Male,Yes,0,Graduate,No,4500.0,0.0,140.0,360.0,1.0,Semiurban,0.0,Has Credit History,4500.0,140000.0,31.11111111111111,25.454545454545453,0
LP001573,Male,Yes,0,Not Graduate,No,4523.0,1350.0,165.0,360.0,1.0,Urban,0.0,Has Credit History,5873.0,165000.0,28.094670526136557,24.006983849847227,1
LP001584,Female,No,0,Graduate,Yes,4742.0,0.0,108.0,360.0,1.0,Semiurban,0.0,Has Credit History,4742.0,108000.0,22.775200337410375,18.808777429467085,0
LP001587,Male,Yes,0,Graduate,No,4082.0,0.0,93.0,360.0,1.0,Semiurban,,Has Credit History,4082.0,93000.0,22.782949534541892,18.299881936245573,0
LP001589,Female,No,0,Graduate,No,3417.0,0.0,102.0,360.0,1.0,Urban,0.0,Has Credit History,3417.0,102000.0,29.850746268656717,23.09259678514829,0
LP001591,Female,Yes,2,Graduate,No,2922.0,3396.0,122.0,360.0,1.0,Semiurban,2.0,Has Credit History,6318.0,122000.0,19.30990819879709,16.671221645258267,1
LP001599,Male,Yes,0,Graduate,No,4167.0,4754.0,160.0,360.0,1.0,Rural,0.0,Has Credit History,8921.0,160000.0,17.935209057280574,16.12740651144038,1
LP001601,Male,No,3+,Graduate,No,4243.0,4123.0,157.0,360.0,,Semiurban,3.0,Unknown/Not on File,8366.0,157000.0,18.766435572555583,16.762758915225284,1
LP001607,Female,No,0,Not Graduate,No,0.0,1760.0,180.0,360.0,1.0,Semiurban,0.0,Has Credit History,1760.0,180000.0,102.27272727272727,65.21739130434783,1
LP001611,Male,Yes,1,Graduate,No,1516.0,2900.0,80.0,360.0,0.0,Rural,1.0,No Credit History,4416.0,80000.0,18.115942028985508,14.771048744460856,1
LP001613,Female,No,0,Graduate,No,1762.0,2666.0,104.0,360.0,0.0,Urban,0.0,No Credit History,4428.0,104000.0,23.486901535682023,19.15991156963891,1
LP001622,Male,Yes,2,Graduate,No,724.0,3510.0,213.0,360.0,0.0,Rural,2.0,No Credit History,4234.0,213000.0,50.30703826169107,40.695452808559416,1
LP001627,Male,No,0,Graduate,No,3125.0,0.0,65.0,360.0,1.0,Urban,0.0,Has Credit History,3125.0,65000.0,20.8,15.757575757575758,0
LP001650,Male,Yes,0,Graduate,No,2333.0,3803.0,146.0,360.0,1.0,Rural,0.0,Has Credit History,6136.0,146000.0,23.79400260756193,20.45964125560538,1
LP001651,Male,Yes,3+,Graduate,No,3350.0,1560.0,135.0,360.0,1.0,Urban,3.0,Has Credit History,4910.0,135000.0,27.4949083503055,22.84263959390863,1
LP001652,Male,No,0,Graduate,No,2500.0,6414.0,187.0,360.0,0.0,Rural,0.0,No Credit History,8914.0,187000.0,20.978236481938524,18.862215049425057,1
LP001655,Female,No,0,Graduate,No,12500.0,0.0,300.0,360.0,0.0,Urban,0.0,No Credit History,12500.0,300000.0,24.0,22.22222222222222,0
LP001660,Male,No,0,Graduate,No,4667.0,0.0,120.0,360.0,1.0,Semiurban,0.0,Has Credit History,4667.0,120000.0,25.7124491107778,21.175224986765485,0
LP001662,Male,No,0,Graduate,No,6500.0,0.0,71.0,360.0,0.0,Urban,0.0,No Credit History,6500.0,71000.0,10.923076923076923,9.466666666666667,0
LP001663,Male,Yes,2,Graduate,No,7500.0,0.0,225.0,360.0,1.0,Urban,2.0,Has Credit History,7500.0,225000.0,30.0,26.470588235294116,0
LP001667,Male,No,0,Graduate,No,3073.0,0.0,70.0,180.0,1.0,Urban,0.0,Has Credit History,3073.0,70000.0,22.779043280182233,17.18634912840658,0
LP001695,Male,Yes,1,Not Graduate,No,3321.0,2088.0,70.0,360.0,1.0,Semiurban,1.0,Has Credit History,5409.0,70000.0,12.94139397300795,10.92214073958496,1
LP001703,Male,Yes,0,Graduate,No,3333.0,1270.0,124.0,360.0,1.0,Urban,0.0,Has Credit History,4603.0,124000.0,26.9389528568325,22.131001249330716,1
LP001718,Male,No,0,Graduate,No,3391.0,0.0,132.0,360.0,1.0,Rural,0.0,Has Credit History,3391.0,132000.0,38.926570333235034,30.06148941015714,0
LP001728,Male,Yes,1,Graduate,Yes,3343.0,1517.0,105.0,360.0,1.0,Rural,1.0,Has Credit History,4860.0,105000.0,21.604938271604937,17.918088737201366,1
LP001735,Female,No,1,Graduate,No,3620.0,0.0,90.0,360.0,1.0,Urban,1.0,Has Credit History,3620.0,90000.0,24.861878453038674,19.48051948051948,0
LP001737,Male,No,0,Graduate,No,4000.0,0.0,83.0,84.0,1.0,Urban,0.0,Has Credit History,4000.0,83000.0,20.75,16.6,0
LP001739,Male,Yes,0,Graduate,No,4258.0,0.0,125.0,360.0,1.0,Urban,0.0,Has Credit History,4258.0,125000.0,29.356505401596994,23.773297831875237,0
LP001742,Male,Yes,2,Graduate,No,4500.0,0.0,147.0,360.0,1.0,Rural,2.0,Has Credit History,4500.0,147000.0,32.666666666666664,26.727272727272727,0
LP001757,Male,Yes,1,Graduate,No,2014.0,2925.0,120.0,360.0,1.0,Rural,1.0,Has Credit History,4939.0,120000.0,24.296416278598908,20.205421788179827,1
LP001769,Male,No,0,Graduate,No,3333.0,1250.0,110.0,360.0,1.0,Semiurban,,Has Credit History,4583.0,110000.0,24.001745581496838,19.702668816048718,1
LP001771,Female,No,3+,Graduate,No,4083.0,0.0,103.0,360.0,,Semiurban,3.0,Unknown/Not on File,4083.0,103000.0,25.22654910604947,20.263623844186505,0
LP001785,Male,No,0,Graduate,No,4727.0,0.0,150.0,360.0,0.0,Rural,0.0,No Credit History,4727.0,150000.0,31.732599957689867,26.19172341540073,0
LP001787,Male,Yes,3+,Graduate,No,3089.0,2999.0,100.0,240.0,1.0,Rural,3.0,Has Credit History,6088.0,100000.0,16.4257555847569,14.108352144469526,1
LP001789,Male,Yes,3+,Not Graduate,No,6794.0,528.0,139.0,360.0,0.0,Urban,3.0,No Credit History,7322.0,139000.0,18.983884184649003,16.70271569334295,1
LP001791,Male,Yes,0,Graduate,Yes,32000.0,0.0,550.0,360.0,,Semiurban,0.0,Unknown/Not on File,32000.0,550000.0,17.1875,16.666666666666668,0
LP001794,Male,Yes,2,Graduate,Yes,10890.0,0.0,260.0,12.0,1.0,Rural,2.0,Has Credit History,10890.0,260000.0,23.875114784205692,21.867115222876365,0
LP001797,Female,No,0,Graduate,No,12941.0,0.0,150.0,300.0,1.0,Urban,0.0,Has Credit History,12941.0,150000.0,11.591067150915695,10.759629868732516,0
LP001815,Male,No,0,Not Graduate,No,3276.0,0.0,90.0,360.0,1.0,Semiurban,0.0,Has Credit History,3276.0,90000.0,27.47252747252747,21.04770813844715,0
LP001817,Male,No,0,Not Graduate,Yes,8703.0,0.0,199.0,360.0,0.0,Rural,0.0,No Credit History,8703.0,199000.0,22.865678501666093,20.509120890446255,0
LP001818,Male,Yes,1,Graduate,No,4742.0,717.0,139.0,360.0,1.0,Semiurban,1.0,Has Credit History,5459.0,139000.0,25.462538926543324,21.520359188728907,1
LP001822,Male,No,0,Graduate,No,5900.0,0.0,150.0,360.0,1.0,Urban,0.0,Has Credit History,5900.0,150000.0,25.423728813559322,21.73913043478261,0
LP001827,Male,No,0,Graduate,No,3071.0,4309.0,180.0,360.0,1.0,Urban,0.0,Has Credit History,7380.0,180000.0,24.390243902439025,21.479713603818617,1
LP001831,Male,Yes,0,Graduate,No,2783.0,1456.0,113.0,360.0,1.0,Urban,0.0,Has Credit History,4239.0,113000.0,26.65723047888653,21.569001717885094,1
LP001842,Male,No,0,Graduate,No,5000.0,0.0,148.0,360.0,1.0,Rural,0.0,Has Credit History,5000.0,148000.0,29.6,24.666666666666668,0
LP001853,Male,Yes,1,Not Graduate,No,2463.0,2360.0,117.0,360.0,0.0,Urban,1.0,No Credit History,4823.0,117000.0,24.258760107816713,20.092735703245747,1
LP001855,Male,Yes,2,Graduate,No,4855.0,0.0,72.0,360.0,1.0,Rural,2.0,Has Credit History,4855.0,72000.0,14.830072090628219,12.297181895815541,0
LP001857,Male,No,0,Not Graduate,Yes,1599.0,2474.0,125.0,300.0,1.0,Semiurban,0.0,Has Credit History,4073.0,125000.0,30.689909157868893,24.640252316183716,1
LP001862,Male,Yes,2,Graduate,Yes,4246.0,4246.0,214.0,360.0,1.0,Urban,2.0,Has Credit History,8492.0,214000.0,25.200188412623646,22.54530130636325,1
LP001867,Male,Yes,0,Graduate,No,4333.0,2291.0,133.0,350.0,1.0,Rural,0.0,Has Credit History,6624.0,133000.0,20.07850241545894,17.444910807974818,1
LP001878,Male,No,1,Graduate,No,5823.0,2529.0,187.0,360.0,1.0,Semiurban,1.0,Has Credit History,8352.0,187000.0,22.38984674329502,19.995722840034215,1
