Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Dependents_numeric,Credit_History_Status,TotalIncome,LoanAmount_Actual,Loan_to_Income_Ratio,Score_CreditHistory,Score_LoanToIncome,Score_Employment,Score_Stability,Approval_Likelihood_Score,Likelihood_Band
LP001105,Male,Yes,2,Graduate,No,4583.0,2916.0,200.0,360.0,1.0,Urban,2.0,Has Credit History,7499.0,200000.0,26.670222696359513,40,10,10,17,81.1,High
LP001107,Male,Yes,3+,Graduate,No,3786.0,333.0,126.0,360.0,1.0,Semiurban,3.0,Has Credit History,4119.0,126000.0,30.58994901675164,40,10,10,17,81.1,High
LP001108,Male,Yes,0,Graduate,No,9226.0,7916.0,300.0,360.0,1.0,Urban,0.0,Has Credit History,17142.0,300000.0,17.50087504375219,40,25,10,20,100.0,High
LP001115,Male,No,0,Graduate,No,1300.0,3470.0,100.0,180.0,1.0,Semiurban,0.0,Has Credit History,4770.0,100000.0,20.964360587002098,40,18,10,15,87.4,High
LP001121,Male,Yes,1,Not Graduate,No,1888.0,1620.0,48.0,360.0,1.0,Urban,1.0,Has Credit History,3508.0,48000.0,13.683010262257696,40,25,10,14,93.7,High
LP001124,Female,No,3+,Not Graduate,No,2083.0,0.0,28.0,180.0,1.0,Urban,3.0,Has Credit History,2083.0,28000.0,13.44215074411906,40,25,10,9,88.4,High
LP001128,Male,No,0,Graduate,No,3909.0,0.0,101.0,360.0,1.0,Urban,0.0,Has Credit History,3909.0,101000.0,25.837810181632133,40,18,10,17,89.5,High
LP001135,Female,No,0,Not Graduate,No,3765.0,0.0,125.0,360.0,1.0,Urban,0.0,Has Credit History,3765.0,125000.0,33.200531208499335,40,10,10,14,77.9,High
LP001149,Male,Yes,0,Graduate,No,5400.0,4380.0,290.0,360.0,1.0,Urban,0.0,Has Credit History,9780.0,290000.0,29.652351738241308,40,10,10,20,84.2,High
LP001153,Male,No,0,Graduate,No,0.0,24000.0,148.0,360.0,0.0,Rural,0.0,No Credit History,24000.0,148000.0,6.166666666666667,8,25,10,17,63.2,Medium
LP001163,Male,Yes,2,Graduate,No,4363.0,1250.0,140.0,360.0,,Urban,2.0,Unknown/Not on File,5613.0,140000.0,24.942098699447712,20,18,10,17,68.4,Medium
LP001169,Male,Yes,0,Graduate,No,7500.0,3750.0,275.0,360.0,1.0,Urban,0.0,Has Credit History,11250.0,275000.0,24.444444444444443,40,18,10,20,92.6,High
LP001174,Male,Yes,0,Graduate,No,3772.0,833.0,57.0,360.0,,Semiurban,0.0,Unknown/Not on File,4605.0,57000.0,12.37785016286645,20,25,10,20,78.9,High
LP001176,Male,No,0,Graduate,No,2942.0,2382.0,125.0,180.0,1.0,Urban,0.0,Has Credit History,5324.0,125000.0,23.478587528174305,40,18,10,15,87.4,High
LP001177,Female,No,0,Not Graduate,No,2478.0,0.0,75.0,360.0,1.0,Semiurban,0.0,Has Credit History,2478.0,75000.0,30.26634382566586,40,10,10,14,77.9,High
LP001183,Male,Yes,2,Graduate,No,6250.0,820.0,192.0,360.0,1.0,Urban,2.0,Has Credit History,7070.0,192000.0,27.157001414427157,40,10,10,17,81.1,High
LP001185,Male,No,0,Graduate,No,3268.0,1683.0,152.0,360.0,1.0,Semiurban,0.0,Has Credit History,4951.0,152000.0,30.700868511411837,40,10,10,17,81.1,High
LP001187,Male,Yes,0,Graduate,No,2783.0,2708.0,158.0,360.0,1.0,Urban,0.0,Has Credit History,5491.0,158000.0,28.774358040429796,40,10,10,20,84.2,High
LP001190,Male,Yes,0,Graduate,No,2740.0,1541.0,101.0,360.0,1.0,Urban,0.0,Has Credit History,4281.0,101000.0,23.59261854706844,40,18,10,20,92.6,High
LP001203,Male,No,0,Graduate,No,3150.0,0.0,176.0,360.0,0.0,Semiurban,0.0,No Credit History,3150.0,176000.0,55.87301587301587,8,3,10,17,40.0,Low
LP001208,Male,Yes,2,Graduate,No,7350.0,4029.0,185.0,180.0,1.0,Urban,2.0,Has Credit History,11379.0,185000.0,16.25801915809825,40,25,10,15,94.7,High
LP001210,Male,Yes,0,Graduate,Yes,2267.0,2792.0,90.0,360.0,1.0,Urban,0.0,Has Credit History,5059.0,90000.0,17.79007709033406,40,25,6,20,95.8,High
LP001211,Male,No,0,Graduate,Yes,5833.0,0.0,116.0,360.0,1.0,Urban,0.0,Has Credit History,5833.0,116000.0,19.886850677181553,40,18,6,17,85.3,High
LP001219,Male,No,0,Graduate,No,3643.0,1963.0,138.0,360.0,1.0,Urban,0.0,Has Credit History,5606.0,138000.0,24.616482340349627,40,18,10,17,89.5,High
LP001220,Male,Yes,0,Graduate,No,5629.0,818.0,100.0,360.0,1.0,Urban,0.0,Has Credit History,6447.0,100000.0,15.511090429657203,40,25,10,20,100.0,High
LP001221,Female,No,0,Graduate,No,3644.0,0.0,110.0,360.0,1.0,Urban,0.0,Has Credit History,3644.0,110000.0,30.186608122941823,40,10,10,17,81.1,High
LP001226,Male,Yes,0,Not Graduate,No,1750.0,2024.0,90.0,360.0,1.0,Semiurban,0.0,Has Credit History,3774.0,90000.0,23.84737678855326,40,18,10,17,89.5,High
LP001230,Male,No,0,Graduate,No,6500.0,2600.0,200.0,360.0,1.0,Semiurban,0.0,Has Credit History,9100.0,200000.0,21.978021978021975,40,18,10,17,89.5,High
LP001231,Female,No,0,Graduate,No,3666.0,0.0,84.0,360.0,1.0,Urban,0.0,Has Credit History,3666.0,84000.0,22.913256955810148,40,18,10,17,89.5,High
LP001232,Male,Yes,0,Graduate,No,4260.0,3900.0,185.0,360.0,,Urban,0.0,Unknown/Not on File,8160.0,185000.0,22.67156862745098,20,18,10,20,71.6,High
LP001237,Male,Yes,0,Not Graduate,No,4163.0,1475.0,162.0,360.0,1.0,Urban,0.0,Has Credit History,5638.0,162000.0,28.73359347286272,40,10,10,17,81.1,High
LP001242,Male,No,0,Not Graduate,No,2356.0,1902.0,108.0,360.0,1.0,Semiurban,0.0,Has Credit History,4258.0,108000.0,25.3640206669798,40,18,10,14,86.3,High
LP001268,Male,No,0,Graduate,No,6792.0,3338.0,187.0,360.0,1.0,Urban,0.0,Has Credit History,10130.0,187000.0,18.460019743336623,40,18,10,17,89.5,High
LP001270,Male,Yes,3+,Not Graduate,Yes,8000.0,250.0,187.0,360.0,1.0,Semiurban,3.0,Has Credit History,8250.0,187000.0,22.666666666666668,40,18,6,14,82.1,High
LP001284,Male,Yes,1,Graduate,No,2419.0,1707.0,124.0,360.0,1.0,Urban,1.0,Has Credit History,4126.0,124000.0,30.05332040717402,40,10,10,17,81.1,High
LP001287,Male,Yes,3+,Not Graduate,No,3500.0,833.0,120.0,360.0,1.0,Semiurban,3.0,Has Credit History,4333.0,120000.0,27.6944380336949,40,10,10,14,77.9,High
LP001291,Male,Yes,1,Graduate,No,3500.0,3077.0,160.0,360.0,1.0,Semiurban,1.0,Has Credit History,6577.0,160000.0,24.32720085145203,40,18,10,17,89.5,High
LP001298,Male,Yes,2,Graduate,No,4116.0,1000.0,30.0,180.0,1.0,Urban,2.0,Has Credit History,5116.0,30000.0,5.863956215793589,40,25,10,15,94.7,High
LP001312,Male,Yes,0,Not Graduate,Yes,5293.0,0.0,92.0,360.0,1.0,Urban,0.0,Has Credit History,5293.0,92000.0,17.38144719440771,40,25,6,17,92.6,High
LP001313,Male,No,0,Graduate,No,2750.0,0.0,130.0,360.0,0.0,Urban,0.0,No Credit History,2750.0,130000.0,47.27272727272727,8,3,10,17,40.0,Low
LP001317,Female,No,0,Not Graduate,No,4402.0,0.0,130.0,360.0,1.0,Rural,0.0,Has Credit History,4402.0,130000.0,29.532030895047704,40,10,10,14,77.9,High
LP001321,Male,Yes,2,Graduate,No,3613.0,3539.0,134.0,180.0,1.0,Semiurban,2.0,Has Credit History,7152.0,134000.0,18.736017897091724,40,18,10,15,87.4,High
LP001323,Female,Yes,2,Graduate,No,2779.0,3664.0,176.0,360.0,0.0,Semiurban,2.0,No Credit History,6443.0,176000.0,27.316467484091262,8,10,10,17,47.4,Low
LP001324,Male,Yes,3+,Graduate,No,4720.0,0.0,90.0,180.0,1.0,Semiurban,3.0,Has Credit History,4720.0,90000.0,19.06779661016949,40,18,10,15,87.4,High
LP001332,Male,Yes,0,Not Graduate,No,2415.0,1721.0,110.0,360.0,1.0,Semiurban,0.0,Has Credit History,4136.0,110000.0,26.595744680851062,40,10,10,17,81.1,High
LP001335,Male,Yes,0,Graduate,Yes,7016.0,292.0,125.0,360.0,1.0,Urban,0.0,Has Credit History,7308.0,125000.0,17.10454296661193,40,25,6,20,95.8,High
LP001338,Female,No,2,Graduate,No,4968.0,0.0,189.0,360.0,1.0,Semiurban,2.0,Has Credit History,4968.0,189000.0,38.04347826086956,40,3,10,14,70.5,High
LP001347,Female,No,0,Graduate,No,2101.0,1500.0,108.0,360.0,0.0,Rural,0.0,No Credit History,3601.0,108000.0,29.991668980838657,8,10,10,17,47.4,Low
LP001348,Male,Yes,3+,Not Graduate,No,4490.0,0.0,125.0,360.0,1.0,Urban,3.0,Has Credit History,4490.0,125000.0,27.839643652561247,40,10,10,14,77.9,High
LP001351,Male,Yes,0,Graduate,No,2917.0,3583.0,138.0,360.0,1.0,Semiurban,0.0,Has Credit History,6500.0,138000.0,21.23076923076923,40,18,10,20,92.6,High
LP001352,Male,Yes,0,Not Graduate,No,4700.0,0.0,135.0,360.0,0.0,Semiurban,0.0,No Credit History,4700.0,135000.0,28.72340425531915,8,10,10,17,47.4,Low
LP001358,Male,Yes,0,Graduate,No,3445.0,0.0,130.0,360.0,0.0,Semiurban,0.0,No Credit History,3445.0,130000.0,37.735849056603776,8,3,10,20,43.2,Low
LP001359,Male,Yes,0,Graduate,No,7666.0,0.0,187.0,360.0,1.0,Semiurban,0.0,Has Credit History,7666.0,187000.0,24.3934255152622,40,18,10,20,92.6,High
LP001361,Male,Yes,0,Graduate,No,2458.0,5105.0,188.0,360.0,0.0,Rural,0.0,No Credit History,7563.0,188000.0,24.85786063731323,8,18,10,20,58.9,Medium
LP001366,Female,No,0,Graduate,No,3250.0,0.0,95.0,360.0,1.0,Semiurban,0.0,Has Credit History,3250.0,95000.0,29.23076923076923,40,10,10,17,81.1,High
LP001368,Male,No,0,Graduate,No,4463.0,0.0,65.0,360.0,1.0,Semiurban,0.0,Has Credit History,4463.0,65000.0,14.564194488012548,40,25,10,17,96.8,High
LP001375,Male,Yes,1,Graduate,No,4083.0,1775.0,139.0,60.0,1.0,Urban,1.0,Has Credit History,5858.0,139000.0,23.72823489245476,40,18,10,15,87.4,High
LP001380,Male,Yes,0,Graduate,Yes,3900.0,2094.0,232.0,360.0,1.0,Rural,0.0,Has Credit History,5994.0,232000.0,38.70537203870537,40,3,6,20,72.6,High
LP001386,Male,Yes,0,Not Graduate,No,4750.0,3583.0,144.0,360.0,1.0,Semiurban,0.0,Has Credit History,8333.0,144000.0,17.280691227649108,40,25,10,17,96.8,High
LP001400,Male,No,0,Graduate,No,3583.0,3435.0,155.0,360.0,1.0,Urban,0.0,Has Credit History,7018.0,155000.0,22.086064405813623,40,18,10,17,89.5,High
LP001407,Male,Yes,0,Graduate,No,3189.0,2367.0,186.0,360.0,1.0,Urban,0.0,Has Credit History,5556.0,186000.0,33.47732181425486,40,10,10,20,84.2,High
LP001413,Male,No,0,Graduate,Yes,6356.0,0.0,50.0,360.0,1.0,Rural,0.0,Has Credit History,6356.0,50000.0,7.866582756450597,40,25,6,17,92.6,High
LP001415,Male,Yes,1,Graduate,No,3413.0,4053.0,126.0,360.0,1.0,Semiurban,1.0,Has Credit History,7466.0,126000.0,16.87650683096705,40,25,10,17,96.8,High
LP001419,Female,Yes,0,Graduate,No,7950.0,0.0,185.0,360.0,1.0,Urban,0.0,Has Credit History,7950.0,185000.0,23.270440251572328,40,18,10,20,92.6,High
LP001420,Male,Yes,3+,Graduate,No,3829.0,1103.0,163.0,360.0,0.0,Urban,3.0,No Credit History,4932.0,163000.0,33.04947283049473,8,10,10,17,47.4,Low
LP001428,Male,Yes,3+,Graduate,No,72529.0,0.0,360.0,360.0,1.0,Urban,3.0,Has Credit History,72529.0,360000.0,4.963531828647851,40,25,10,17,96.8,High
LP001445,Male,Yes,2,Not Graduate,No,4136.0,0.0,149.0,480.0,0.0,Rural,2.0,No Credit History,4136.0,149000.0,36.02514506769826,8,3,10,14,36.8,Low
LP001446,Male,Yes,0,Graduate,No,8449.0,0.0,257.0,360.0,1.0,Rural,0.0,Has Credit History,8449.0,257000.0,30.417800923186174,40,10,10,20,84.2,High
LP001450,Male,Yes,0,Graduate,No,4456.0,0.0,131.0,180.0,0.0,Semiurban,0.0,No Credit History,4456.0,131000.0,29.398563734290843,8,10,10,18,48.4,Low
LP001452,Male,Yes,2,Graduate,No,4635.0,8000.0,102.0,180.0,1.0,Rural,2.0,Has Credit History,12635.0,102000.0,8.072813612979818,40,25,10,15,94.7,High
LP001455,Male,Yes,0,Graduate,No,3571.0,1917.0,135.0,360.0,1.0,Urban,0.0,Has Credit History,5488.0,135000.0,24.599125364431487,40,18,10,20,92.6,High
LP001466,Male,No,0,Graduate,No,3066.0,0.0,95.0,360.0,1.0,Semiurban,0.0,Has Credit History,3066.0,95000.0,30.9849967384214,40,10,10,17,81.1,High
LP001471,Male,No,2,Not Graduate,No,3235.0,2015.0,77.0,360.0,1.0,Semiurban,2.0,Has Credit History,5250.0,77000.0,14.666666666666666,40,25,10,11,90.5,High
LP001472,Female,No,0,Graduate,No,5058.0,0.0,200.0,360.0,1.0,Rural,0.0,Has Credit History,5058.0,200000.0,39.541320680110715,40,3,10,17,73.7,High
LP001475,Male,Yes,0,Graduate,Yes,3188.0,2286.0,130.0,360.0,,Rural,0.0,Unknown/Not on File,5474.0,130000.0,23.748629886737305,20,18,6,20,67.4,Medium
LP001483,Male,Yes,3+,Graduate,No,13518.0,0.0,390.0,360.0,1.0,Rural,3.0,Has Credit History,13518.0,390000.0,28.850421660008877,40,10,10,17,81.1,High
LP001486,Male,Yes,1,Graduate,No,4364.0,2500.0,185.0,360.0,1.0,Semiurban,1.0,Has Credit History,6864.0,185000.0,26.952214452214452,40,10,10,17,81.1,High
LP001490,Male,Yes,2,Not Graduate,No,4766.0,1646.0,100.0,360.0,1.0,Semiurban,2.0,Has Credit History,6412.0,100000.0,15.595757953836555,40,25,10,14,93.7,High
LP001496,Male,Yes,1,Graduate,No,4609.0,2333.0,123.0,360.0,0.0,Semiurban,1.0,No Credit History,6942.0,123000.0,17.718236819360413,8,25,10,17,63.2,Medium
LP001499,Female,Yes,3+,Graduate,No,6260.0,0.0,110.0,360.0,1.0,Semiurban,3.0,Has Credit History,6260.0,110000.0,17.57188498402556,40,25,10,17,96.8,High
LP001500,Male,Yes,1,Graduate,No,3333.0,4200.0,256.0,360.0,1.0,Urban,1.0,Has Credit History,7533.0,256000.0,33.98380459312359,40,10,10,17,81.1,High
LP001501,Male,Yes,0,Graduate,No,3500.0,3250.0,140.0,360.0,1.0,Semiurban,0.0,Has Credit History,6750.0,140000.0,20.74074074074074,40,18,10,20,92.6,High
LP001517,Male,Yes,3+,Graduate,No,9719.0,0.0,61.0,360.0,1.0,Urban,3.0,Has Credit History,9719.0,61000.0,6.276365881263504,40,25,10,17,96.8,High
LP001527,Male,Yes,3+,Graduate,No,6835.0,0.0,188.0,360.0,,Semiurban,3.0,Unknown/Not on File,6835.0,188000.0,27.505486466715436,20,10,10,17,60.0,Medium
LP001534,Male,No,0,Graduate,No,4452.0,0.0,131.0,360.0,1.0,Rural,0.0,Has Credit History,4452.0,131000.0,29.42497753818509,40,10,10,17,81.1,High
LP001542,Female,Yes,0,Graduate,No,2262.0,0.0,126.0,480.0,0.0,Semiurban,0.0,No Credit History,2262.0,126000.0,55.70291777188329,8,3,10,20,43.2,Low
LP001547,Male,Yes,1,Graduate,No,3901.0,0.0,116.0,360.0,1.0,Urban,1.0,Has Credit History,3901.0,116000.0,29.735965137144323,40,10,10,17,81.1,High
LP001548,Male,Yes,2,Not Graduate,No,2687.0,0.0,50.0,180.0,1.0,Rural,2.0,Has Credit History,2687.0,50000.0,18.608113137327877,40,18,10,12,84.2,High
LP001558,Male,No,0,Graduate,No,2243.0,2233.0,107.0,360.0,,Semiurban,0.0,Unknown/Not on File,4476.0,107000.0,23.905272564789993,20,18,10,17,68.4,Medium
LP001561,Female,Yes,0,Graduate,No,3417.0,1287.0,200.0,360.0,1.0,Semiurban,0.0,Has Credit History,4704.0,200000.0,42.51700680272109,40,3,10,20,76.8,High
LP001563,Male,No,0,Graduate,No,1596.0,1760.0,119.0,360.0,0.0,Urban,0.0,No Credit History,3356.0,119000.0,35.45887961859356,8,3,10,17,40.0,Low
LP001567,Male,Yes,3+,Graduate,No,4513.0,0.0,120.0,360.0,1.0,Rural,3.0,Has Credit History,4513.0,120000.0,26.589851539995568,40,10,10,17,81.1,High
LP001568,Male,Yes,0,Graduate,No,4500.0,0.0,140.0,360.0,1.0,Semiurban,0.0,Has Credit History,4500.0,140000.0,31.11111111111111,40,10,10,20,84.2,High
LP001573,Male,Yes,0,Not Graduate,No,4523.0,1350.0,165.0,360.0,1.0,Urban,0.0,Has Credit History,5873.0,165000.0,28.094670526136557,40,10,10,17,81.1,High
LP001584,Female,No,0,Graduate,Yes,4742.0,0.0,108.0,360.0,1.0,Semiurban,0.0,Has Credit History,4742.0,108000.0,22.775200337410375,40,18,6,17,85.3,High
LP001587,Male,Yes,0,Graduate,No,4082.0,0.0,93.0,360.0,1.0,Semiurban,0.0,Has Credit History,4082.0,93000.0,22.782949534541892,40,18,10,20,92.6,High
LP001589,Female,No,0,Graduate,No,3417.0,0.0,102.0,360.0,1.0,Urban,0.0,Has Credit History,3417.0,102000.0,29.850746268656717,40,10,10,17,81.1,High
LP001591,Female,Yes,2,Graduate,No,2922.0,3396.0,122.0,360.0,1.0,Semiurban,2.0,Has Credit History,6318.0,122000.0,19.30990819879709,40,18,10,17,89.5,High
LP001599,Male,Yes,0,Graduate,No,4167.0,4754.0,160.0,360.0,1.0,Rural,0.0,Has Credit History,8921.0,160000.0,17.935209057280574,40,25,10,20,100.0,High
LP001601,Male,No,3+,Graduate,No,4243.0,4123.0,157.0,360.0,,Semiurban,3.0,Unknown/Not on File,8366.0,157000.0,18.766435572555583,20,18,10,14,65.3,Medium
LP001607,Female,No,0,Not Graduate,No,0.0,1760.0,180.0,360.0,1.0,Semiurban,0.0,Has Credit History,1760.0,180000.0,102.27272727272728,40,3,10,14,70.5,High
LP001611,Male,Yes,1,Graduate,No,1516.0,2900.0,80.0,360.0,0.0,Rural,1.0,No Credit History,4416.0,80000.0,18.115942028985508,8,18,10,17,55.8,Medium
LP001613,Female,No,0,Graduate,No,1762.0,2666.0,104.0,360.0,0.0,Urban,0.0,No Credit History,4428.0,104000.0,23.486901535682023,8,18,10,17,55.8,Medium
LP001622,Male,Yes,2,Graduate,No,724.0,3510.0,213.0,360.0,0.0,Rural,2.0,No Credit History,4234.0,213000.0,50.30703826169107,8,3,10,17,40.0,Low
LP001627,Male,No,0,Graduate,No,3125.0,0.0,65.0,360.0,1.0,Urban,0.0,Has Credit History,3125.0,65000.0,20.8,40,18,10,17,89.5,High
LP001650,Male,Yes,0,Graduate,No,2333.0,3803.0,146.0,360.0,1.0,Rural,0.0,Has Credit History,6136.0,146000.0,23.79400260756193,40,18,10,20,92.6,High
LP001651,Male,Yes,3+,Graduate,No,3350.0,1560.0,135.0,360.0,1.0,Urban,3.0,Has Credit History,4910.0,135000.0,27.4949083503055,40,10,10,17,81.1,High
LP001652,Male,No,0,Graduate,No,2500.0,6414.0,187.0,360.0,0.0,Rural,0.0,No Credit History,8914.0,187000.0,20.978236481938524,8,18,10,17,55.8,Medium
LP001655,Female,No,0,Graduate,No,12500.0,0.0,300.0,360.0,0.0,Urban,0.0,No Credit History,12500.0,300000.0,24.0,8,18,10,17,55.8,Medium
LP001660,Male,No,0,Graduate,No,4667.0,0.0,120.0,360.0,1.0,Semiurban,0.0,Has Credit History,4667.0,120000.0,25.7124491107778,40,18,10,17,89.5,High
LP001662,Male,No,0,Graduate,No,6500.0,0.0,71.0,360.0,0.0,Urban,0.0,No Credit History,6500.0,71000.0,10.923076923076923,8,25,10,17,63.2,Medium
LP001663,Male,Yes,2,Graduate,No,7500.0,0.0,225.0,360.0,1.0,Urban,2.0,Has Credit History,7500.0,225000.0,30.0,40,10,10,17,81.1,High
LP001667,Male,No,0,Graduate,No,3073.0,0.0,70.0,180.0,1.0,Urban,0.0,Has Credit History,3073.0,70000.0,22.779043280182233,40,18,10,15,87.4,High
LP001695,Male,Yes,1,Not Graduate,No,3321.0,2088.0,70.0,360.0,1.0,Semiurban,1.0,Has Credit History,5409.0,70000.0,12.94139397300795,40,25,10,14,93.7,High
LP001703,Male,Yes,0,Graduate,No,3333.0,1270.0,124.0,360.0,1.0,Urban,0.0,Has Credit History,4603.0,124000.0,26.9389528568325,40,10,10,20,84.2,High
LP001718,Male,No,0,Graduate,No,3391.0,0.0,132.0,360.0,1.0,Rural,0.0,Has Credit History,3391.0,132000.0,38.926570333235034,40,3,10,17,73.7,High
LP001728,Male,Yes,1,Graduate,Yes,3343.0,1517.0,105.0,360.0,1.0,Rural,1.0,Has Credit History,4860.0,105000.0,21.604938271604937,40,18,6,17,85.3,High
LP001735,Female,No,1,Graduate,No,3620.0,0.0,90.0,360.0,1.0,Urban,1.0,Has Credit History,3620.0,90000.0,24.86187845303867,40,18,10,14,86.3,High
LP001737,Male,No,0,Graduate,No,4000.0,0.0,83.0,84.0,1.0,Urban,0.0,Has Credit History,4000.0,83000.0,20.75,40,18,10,15,87.4,High
LP001739,Male,Yes,0,Graduate,No,4258.0,0.0,125.0,360.0,1.0,Urban,0.0,Has Credit History,4258.0,125000.0,29.35650540159699,40,10,10,20,84.2,High
LP001742,Male,Yes,2,Graduate,No,4500.0,0.0,147.0,360.0,1.0,Rural,2.0,Has Credit History,4500.0,147000.0,32.666666666666664,40,10,10,17,81.1,High
LP001757,Male,Yes,1,Graduate,No,2014.0,2925.0,120.0,360.0,1.0,Rural,1.0,Has Credit History,4939.0,120000.0,24.296416278598908,40,18,10,17,89.5,High
LP001769,Male,No,0,Graduate,No,3333.0,1250.0,110.0,360.0,1.0,Semiurban,0.0,Has Credit History,4583.0,110000.0,24.00174558149684,40,18,10,17,89.5,High
LP001771,Female,No,3+,Graduate,No,4083.0,0.0,103.0,360.0,,Semiurban,3.0,Unknown/Not on File,4083.0,103000.0,25.22654910604947,20,18,10,14,65.3,Medium
LP001785,Male,No,0,Graduate,No,4727.0,0.0,150.0,360.0,0.0,Rural,0.0,No Credit History,4727.0,150000.0,31.732599957689867,8,10,10,17,47.4,Low
LP001787,Male,Yes,3+,Graduate,No,3089.0,2999.0,100.0,240.0,1.0,Rural,3.0,Has Credit History,6088.0,100000.0,16.4257555847569,40,25,10,15,94.7,High
LP001789,Male,Yes,3+,Not Graduate,No,6794.0,528.0,139.0,360.0,0.0,Urban,3.0,No Credit History,7322.0,139000.0,18.983884184649003,8,18,10,14,52.6,Medium
LP001791,Male,Yes,0,Graduate,Yes,32000.0,0.0,550.0,360.0,,Semiurban,0.0,Unknown/Not on File,32000.0,550000.0,17.1875,20,25,6,20,74.7,High
LP001794,Male,Yes,2,Graduate,Yes,10890.0,0.0,260.0,12.0,1.0,Rural,2.0,Has Credit History,10890.0,260000.0,23.875114784205692,40,18,6,15,83.2,High
LP001797,Female,No,0,Graduate,No,12941.0,0.0,150.0,300.0,1.0,Urban,0.0,Has Credit History,12941.0,150000.0,11.591067150915697,40,25,10,15,94.7,High
LP001815,Male,No,0,Not Graduate,No,3276.0,0.0,90.0,360.0,1.0,Semiurban,0.0,Has Credit History,3276.0,90000.0,27.47252747252747,40,10,10,14,77.9,High
LP001817,Male,No,0,Not Graduate,Yes,8703.0,0.0,199.0,360.0,0.0,Rural,0.0,No Credit History,8703.0,199000.0,22.865678501666093,8,18,6,14,48.4,Low
LP001818,Male,Yes,1,Graduate,No,4742.0,717.0,139.0,360.0,1.0,Semiurban,1.0,Has Credit History,5459.0,139000.0,25.462538926543324,40,18,10,17,89.5,High
LP001822,Male,No,0,Graduate,No,5900.0,0.0,150.0,360.0,1.0,Urban,0.0,Has Credit History,5900.0,150000.0,25.42372881355932,40,18,10,17,89.5,High
LP001827,Male,No,0,Graduate,No,3071.0,4309.0,180.0,360.0,1.0,Urban,0.0,Has Credit History,7380.0,180000.0,24.390243902439025,40,18,10,17,89.5,High
